// This is just an example for debug purposes

BEGIN|09:42:57
EVERY|00:00:10
END|17:47:14

OPENURL|http://www.sanger.dk/
OPENURL|http://www.ringingtelephone.com/
OPENURL|http://cachemonet.com/
DISKDRV|1
OPENURL|http://giantbatfarts.com/
OPENURL|http://www.ooooiiii.com/
OPENURL|http://cat-bounce.com/
OPENURL|http://www.iiiiiiii.com/
DISKDRV|3
OPENURL|http://leekspin.com/
OPENURL|http://iamawesome.com/
OPENURL|http://www.nelson-haha.com/
DISKDRV|5
OPENURL|http://www.muchbetterthanthis.com/
OPENURL|http://baconsizzling.com/
DISKDRV|7
OPENURL|http://www.sadtrombone.com/?autoplay=true
LOGUOFF|Windows detected porn on your computer.
